"Saiz Syarikat","Apakah Perniagaan","Jenis Promosi","Prompt Poster Promosi"
"Kecil","Servis kewangan untuk penjual makanan & kuih cara online (WhatsApp, TikTok, Facebook)","Pakej kewangan food online","“Buat poster promosi untuk kewangan makanan & kuih online kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Makanan & Kuih Online – RMXXX’. Tambah 2–3 perkara: rekod bahan, rekod jualan, kira kira nak untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna merah/jingga, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual servis e‑commerce & wholesale (b2b, grosir)","Pakej kewangan grosir & b2b","“Buat poster promosi untuk kewangan grosir & b2b kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Grosir & B2B – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan b2b, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual kerosak & barangan terpakai","Pakej kewangan kerosak & secondhand","“Buat poster promosi untuk kewangan kerosak & secondhand kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Kerosak & Secondhand – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual peralatan masak & dapur (kitchenware)","Pakej kewangan kitchenware","“Buat poster promosi untuk kewangan kitchenware kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Kitchenware & Perabot Dapur – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual peralatan elektrik rumah (kipas, ketuhar, dryer, etc)","Pakej kewangan appliance","“Buat poster promosi untuk kewangan peralatan elektrik kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Peralatan Elektrik – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual perabot & furniture rumah","Pakej kewangan furniture","“Buat poster promosi untuk kewangan furniture kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Furniture – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual gadget & phone accessories online","Pakej kewangan phone accessories","“Buat poster promosi untuk kewangan phone accessories kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Penjual Phone Accessories – RMXXX’. Tambah 2–3 perkara: rekod stok, rekod jualan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual makanan & kuih cara bake at home","Pakej kewangan bake at home","“Buat poster promosi untuk kewangan makanan bake at home kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Bake At Home – RMXXX’. Tambah 2–3 perkara: kira kira bahan, kira kira paket, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna jingga, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual servis digital lain (virtual assistant, admin, etc)","Pakej kewangan virtual assistant","“Buat poster promosi untuk kewangan virtual assistant kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Virtual Assistant & Admin Online – RMXXX’. Tambah 2–3 perkara: rekod pendapatan, kira kira kira, kira kira cukai. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual servis katering & buffet kecil","Pakej kewangan katering","“Buat poster promosi untuk kewangan katering kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Katering & Buffet – RMXXX’. Tambah 2–3 perkara: kira kira bahan, kira kira kira kira, kira kira untung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna oranye, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual servis klinik kecil & klinik kecantikan","Pakej kewangan klinik kecil","“Buat poster promosi untuk kewangan klinik kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Klinik Kecil & Klinik Kecantikan – RMXXX’. Tambah 2–3 perkara: rekod pendapatan, rekod bahan rawatan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual servis beauty & spa kecil","Pakej kewangan beauty spa","“Buat poster promosi untuk kewangan beauty & spa kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Beauty & Spa – RMXXX’. Tambah 2–3 perkara: rekod pendapatan, rekod bahan rawatan, kira kira kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk penjual servis bengkel, tayar, aircond, wiring","Pakej kewangan bengkel","“Buat poster promosi untuk kewangan bengkel kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Bengkel, Tayar, Aircond, Wiring – RMXXX’. Tambah 2–3 perkara: rekod pendapatan servis, rek"
