"Saiz Syarikat","Apakah Perniagaan","Jenis Promosi","Prompt Poster Promosi"
"Mikro","Servis pest control (serangga, tikus, kumbang)","Pakej rawatan permulaan","“Buat poster promosi untuk servis pest control mikro di Malaysia. Teks: ‘Pakej Rawatan Permulaan – RMXXX’. Tambah 2–3 jenis serangga, 1–2 manfaat seperti ‘Rumah Lebih Bersih & Selamat’. Tambah CTA ‘WhatsApp Kami’. Gaya profesional, warna hijau/biru, sesuai untuk media sosial.”"
"Mikro","Servis dog & pet grooming (bas, potong, rapi)","Pakej grooming asas","“Buat poster promosi untuk servis pet grooming mikro di Malaysia. Teks: ‘Pakej Grooming Asas – RMXXX’. Tambah 2–3 perkara: mandi, potong kuku, rapi bulu. Tambah 1–2 manfaat dan CTA ‘Tempah Slot’. Gaya mesra, warna ceria, sesuai untuk kios & media sosial.”"
"Mikro","Servis kawal hantu / kandang kucing & anjing","Servis jaga haiwan peliharaan","“Buat poster promosi untuk servis kandang kucing & anjing mikro di Malaysia. Teks: ‘Servis Jaga Haiwan Peliharaan – RMXXX Sehari’. Tambah 2–3 perkara: makanan, mandi, senaman ringkas. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya mesra, warna lembut, sesuai untuk media sosial.”"
"Mikro","Servis kawal kunci / kunci autotap","Servis kuncian kunci rumah","“Buat poster promosi untuk servis kuncian kunci rumah mikro di Malaysia. Teks: ‘Servis Kunci Rumah & Autotap – RMXXX’. Tambah 2–3 perkara: pemasangan kunci baru, kunci pecah, autotap. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya tegas, warna biru, sesuai untuk media sosial.”"
"Mikro","Servis kewangan mikro untuk youtuber & kreator","Pakej kewangan kreator","“Buat poster promosi untuk konsultan kewangan kreator mikro di Malaysia. Teks: ‘Pakej Kewangan Untuk Youtuber & Kreator – RMXXX’. Tambah 2–3 manfaat: kira pendapatan platform, cukai kewangan, bajet kandungan. Tambah CTA ‘WhatsApp Kami’. Gaya digital, warna cerah, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk freelancer online (Fiverr, Upwork, dll)","Pakej rekod pendapatan","“Buat poster promosi untuk kewangan freelancer mikro di Malaysia. Teks: ‘Pakej Rekod Pendapatan Freelancer – RMXXX’. Tambah 2–3 perkara: rekod pendapatan, kira cukai, senarai tabung. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Mikro","Servis krim / krim nutrisi (mak badak, lotion, sabun)","Pakej workshop / kelas krim","“Buat poster promosi untuk servis kelas krim mak badak mikro di Malaysia. Teks: ‘Kelas Buat Krim Mak Badak – RMXXX’. Tambah 2–3 manfaat: resepi, teknik, bahan. Tambah 1–2 perkara dan CTA ‘WhatsApp Kami’. Gaya feminin, warna cerah, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk sahabat niaga / MLM","Pakej kewangan untuk MLM","“Buat poster promosi untuk kewangan MLM mikro di Malaysia. Teks: ‘Pakej Kewangan Untuk Sahabat Niaga / MLM – RMXXX’. Tambah 2–3 perkara: kira komisen, kira kredibiliti, kira bonus. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk rider foodpanda & GrabFood","Pakej kewangan rider","“Buat poster promosi untuk kewangan rider mikro di Malaysia. Teks: ‘Pakej Kewangan Rider – RMXXX’. Tambah 2–3 perkara: kira pendapatan platform, pendapatan sampingan, kira kiraan minyak. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya ringkas, warna cerah, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk pelajar & graduate baru","Pakej kewangan pelajar","“Buat poster promosi untuk kewangan pelajar & graduate baru mikro di Malaysia. Teks: ‘Pakej Kewangan Untuk Pelajar & Graduate Baru – RMXXX’. Tambah 2–3 perkara: kira pendapatan, kira kira, buat bajet. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk ibu rumah","Pakej kewangan keluarga","“Buat poster promosi untuk kewangan ibu rumah mikro di Malaysia. Teks: ‘Pakej Kewangan Untuk Ibu Rumah – RMXXX’. Tambah 2–3 perkara: kira perbelanjaan keluarga, bajet bulanan, tahu kira kira. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya mesra, warna lembut, sesuai untuk media sosial.”"
"Mikro","Servis kewangan untuk kakak market / penjual pasar","Pakej kewangan kakak market","“Buat poster promosi untuk kewangan kakak market mikro di Malaysia. Teks: ‘Pakej Kewangan Kakak Market – RMXXX’. Tambah 2–3 perkara: kira kira harga, kira kira kira kira, kira kira barangan. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya ringkas, warna cerah, sesuai untuk kios.”"
"Kecil","Servis event & dekorasi (perkahwinan, corporate)","Pakej event & dekorasi","“Buat poster promosi untuk syarikat event & dekorasi kecil di Malaysia. Teks: ‘Pakej Event & Dekorasi – RMXXX’. Tambah 2–3 item: tema, katering, hiasan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya kreatif, warna ceria, sesuai untuk media sosial.”"
"Kecil","Servis photography & video besar (corporate, product)","Pakej profesional photography","“Buat poster promosi untuk servis photography & video kecil di Malaysia. Teks: ‘Pakej Photography Profesional – RMXXX’. Tambah 2–3 item: photoshoot, video, editing. Tambah 1–2 manfaat dan CTA ‘Tempah Sekarang’. Gaya profesional, warna netral, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk SME kecil (akaun + kewangan)","Pakej kewangan SME","“Buat poster promosi untuk kewangan SME mikro kecil di Malaysia. Teks: ‘Pakej Kewangan SME – RMXXX’. Tambah 2–3 item: rekod kewangan, laporan bulanan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
"Kecil","Servis setup e‑commerce & sosial besar (brand, influencer)","Pakej fully managed e‑commerce","“Buat poster promosi untuk servis setup e‑commerce & sosial kecil di Malaysia. Teks: ‘Pakej Fully Managed E‑Commerce – RMXXX’. Tambah 2–3 item: buka kedaig, promosi, konsultasi. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya digital, warna cerah, sesuai untuk media sosial.”"
"Kecil","Servis cleaning & janitorial (pejabat, kondo)","Pakej cleaning bulanan","“Buat poster promosi untuk servis cleaning & janitorial kecil di Malaysia. Teks: ‘Pakej Cleaning Bulanan – RMXXX’. Tambah 2–3 zon, 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya bersih, warna biru/putih, sesuai untuk tender & media sosial.”"
"Kecil","Servis pest control besar (komersial, kondo)","Pakej rawatan komersial","“Buat poster promosi untuk servis pest control kecil di Malaysia. Teks: ‘Pakej Rawatan Komersial – RMXXX’. Tambah 2–3 jenis problem, 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna hijau/biru, sesuai untuk media sosial.”"
"Kecil","Servis kandang & gromping kawasan besar (pets holiday)","Pakej pet holiday","“Buat poster promosi untuk servis kandang & gromping besar di Malaysia. Teks: ‘Pakej Pet Holiday – RMXXX’. Tambah 2–3 perkara: kandang, makanan, senaman. Tambah 1–2 manfaat dan CTA ‘WhatsApp Kami’. Gaya mesra, warna ceria, sesuai untuk media sosial.”"
"Kecil","Servis kewangan untuk franchise & kios","Pakej kewangan franchise","“Buat poster promosi untuk kewangan franchise & kios kecil di Malaysia. Teks: ‘Pakej Kewangan Untuk Franchise & Kios – RMXXX’. Tambah 2–3 item: rekod kewangan, laporan, analisis kewangan. Tambah 1–2 manfaat dan CTA ‘Hubungi Kami’. Gaya profesional, warna biru, sesuai untuk media sosial.”"
